SpatialDimensionValueCode,TimeDim,NumericValue
DZA,2013,2.30824
DZA,2014,2.25687
DZA,2015,2.16641
DZA,2016,2.05819
DZA,2017,2.04169
DZA,2018,2.0651
DZA,2019,2.04704
DZA,2020,1.7078
DZA,2021,2.18144
ECU,2000,5.55363
ECU,2001,5.68612
ECU,2002,5.44818
ECU,2003,6.17132
ECU,2004,6.93972
ECU,2005,8.34281
ECU,2006,7.75214
ECU,2007,8.4769
ECU,2008,8.21725
ECU,2009,8.51268
ECU,2010,7.98604
ECU,2011,8.2468
ECU,2012,8.17757
ECU,2013,5.86651
ECU,2014,6.59375
ECU,2015,8.38176
ECU,2016,8.8261
ECU,2017,8.94836
ECU,2018,8.47194
ECU,2019,8.52041
ECU,2020,7.59058
ECU,2021,7.55903
EGY,2000,0.9123
EGY,2001,0.94194
EGY,2002,0.95667
EGY,2003,0.94514
EGY,2004,0.94703
EGY,2005,0.93826
EGY,2006,0.92167
EGY,2007,0.90092
EGY,2008,0.90497
EGY,2009,0.91633
EGY,2010,0.93253
EGY,2011,0.98708
EGY,2012,1.04281
EGY,2013,1.03928
EGY,2014,0.97721
EGY,2015,0.96905
EGY,2016,0.94387
EGY,2017,0.8905
EGY,2018,0.8878
EGY,2019,0.90855
EGY,2020,0.78511
EGY,2021,0.62968
EMR,2000,4.71018
EMR,2001,4.66632
EMR,2002,4.6535
EMR,2003,4.494
EMR,2004,4.53013
EMR,2005,4.49054
EMR,2006,4.4066
EMR,2007,4.40977
EMR,2008,4.39398
EMR,2009,4.3407
EMR,2010,4.1497
EMR,2011,4.09631
EMR,2012,4.07839
EMR,2013,3.90623
EMR,2014,4.07346
EMR,2015,4.04269
