SpatialDimensionValueCode,TimeDim,NumericValue
CRI,2019,7.05556
KIR,2018,19.12485
AUS,2005,11.66995
LKA,2014,15.02821
POL,2009,19.23083
FIN,2018,15.67292
KHM,2008,4.54641
AFR,2010,6.94396
IRN,2006,4.82758
WB_LI,2011,6.07218
MLI,2003,3.9856
FSM,2014,20.04666
SYC,2006,7.76957
OMN,2008,1.65562
TJK,2021,2.43202
ATG,2011,0.0
GEO,2001,2.49115
HRV,2019,14.90735
BRN,2010,1.05052
BRN,2013,1.31008
MRT,2014,2.77928
SGP,2006,11.02241
CUB,2005,12.99461
BLZ,2015,5.71498
LAO,2000,5.70002
IND,2015,14.63077
LTU,2016,32.33963
URY,2004,15.51202
CZE,2011,16.09259
JPN,2005,24.55621
GEO,2004,4.77241
NOR,2021,13.18888
ETH,2009,5.66867
WSM,2013,11.24864
GTM,2011,4.80351
GRC,2012,4.6951
BHR,2020,5.47822
ARM,2002,3.60602
COG,2013,7.62115
BRA,2013,5.79022
MLT,2013,7.06222
BGD,2002,4.56558
ZMB,2017,5.6357
SLV,2013,6.75198
IRN,2013,4.68493
EGY,2002,0.95667
SOM,2006,8.36532
KEN,2004,4.73375
LSO,2005,17.15904
ATG,2015,0.46916
CIV,2015,8.05554
CHL,2021,7.69217
BEL,2015,18.60678
ZAF,2007,15.96085
KAZ,2013,24.64273
PER,2001,1.20244
LBY,2012,4.36312
GMB,2015,4.90057
ISR,2008,5.28849
CAN,2013,12.85595
AFG,2012,3.63912
YEM,2007,5.48046
PRK,2014,10.28412
SEN,2009,6.99158
TUN,2001,3.02414
GEO,2018,6.99743
VNM,2001,5.88468
RUS,2009,36.84133
TJK,2020,2.21628
VCT,2008,4.30999
LUX,2018,10.07447
LBR,2009,5.48844
TON,2013,4.9599
CPV,2001,12.25566
VEN,2007,5.80853
CHN,2019,8.74995
IRL,2017,8.47365
COL,2012,3.81836
FSM,2016,20.29236
LUX,2011,11.99006
BIH,2008,10.78334
SVK,2004,13.99933
BRB,2013,4.13398
FRA,2016,14.62787
CHL,2004,10.26033
SSD,2013,5.15097
ARM,2013,6.46843
AUT,2018,15.70386
MEX,2001,3.95287
PHL,2001,1.72849
BTN,2004,5.88079
BLR,2000,39.50342
COD,2019,8.32886
BIH,2012,10.26167
SLB,2015,20.52389
BGD,2000,4.80534
PER,2008,1.49525
IRN,2003,5.09924
LAO,2020,3.96366
BIH,2000,10.98351
BGR,2010,12.39917
BLR,2015,21.91611
LAO,2014,4.77934
ARE,2002,2.27181
GRC,2008,3.30634
CUB,2009,13.69175
CAN,2016,11.48604
ALB,2009,7.01951
SVN,2009,22.23203
BLZ,2021,4.17652
KEN,2021,4.58158
SYR,2001,0.97692
PSE,2014,0.92073
NER,2003,3.99644
KWT,2013,1.35431
KGZ,2000,13.44558
UZB,2019,10.13994
JOR,2002,2.00886
AFG,2003,4.23829
GEO,2005,2.1577
VUT,2018,16.15189
FIN,2016,15.28915
TJK,2008,2.89461
AGO,2005,8.32302
PAK,2013,5.82132
PNG,2001,1.67571
